Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting),Observation Frequency
"Andorra","NET-AD001A","Xarxa de vigilancia de qualitat de l'aire del Departament de Medi Ambient - Govern Andorra","AD0942A","Escaldes-Engordany","SPO-AD0942A-0008","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","2019","31.013","ug/m3","92.18","1","Background","Urban","1.5391","42.5097","1080.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AD&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA-AD0942A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.01","Amt der Burgenländischen Landesregierung","AT10001","Eisenstadt Laschoberstraße","SPO.01.0001.1557.8.1","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","2019","15.576","ug/m3","94.83","1","Background","Suburban","16.5262","47.8401","165.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA.01.0001&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.03","Amt der Niederösterreichischen Landesregierung","AT31904","Streithofen im Tullnerfeld","SPO.03.1904.1689.8.1","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","2019","5.708","ug/m3","95.21","1","Background","Rural","15.9350","48.2764","220.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA.03.1904&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.03","Amt der Niederösterreichischen Landesregierung","AT32301","St. Pölten Eybnerstraße","SPO.03.2301.1694.8.1","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","2019","17.578","ug/m3","95.13","1","Background","Suburban","15.6325","48.2116","270.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA.03.2301&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.03","Amt der Niederösterreichischen Landesregierung","AT32604","Kematen an der Ybbs","SPO.03.2604.63688.8.1","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","2019","11.179","ug/m3","95.50","1","Background","Rural","14.7723","48.0451","330.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA.03.2604&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.03","Amt der Niederösterreichischen Landesregierung","AT30065","Purkersdorf, Tullnerbachstraße","SPO.03.0065.5086.8.1","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","2019","15.548","ug/m3","95.19","1","Background","Suburban","16.1434","48.1955","260.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA.03.0065&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.02","Amt der Kärntner Landesregierung","AT2WO35","St. Georgen im Lavanttal - Herzogberg","SPO.02.WO35.1612.8.1","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","2019","6.353","ug/m3","95.63","1","Background","Rural","14.8917","46.7083","540.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA.02.WO35&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.03","Amt der Niederösterreichischen Landesregierung","AT30403","Wolkersdorf","SPO.03.0403.1176.8.1","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","2019","12.582","ug/m3","94.66","1","Background","Rural","16.5220","48.3929","260.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA.03.0403&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.03","Amt der Niederösterreichischen Landesregierung","AT30301","Hainburg Krankenhaus","SPO.03.0301.1186.8.1","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","2019","12.632","ug/m3","95.59","1","Background","Suburban","16.9579","48.1442","180.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA.03.0301&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.04","Amt der Oberösterreichischen Landesregierung","AT4S184","Linz Stadtpark, Noßbergerstraße","SPO.04.S184.63303.8.1","NO2","Nitrogen dioxide (air)","P1Y","Annual mean / 1 calendar year","2019","23.127","ug/m3","94.30","1","Background","Urban","14.2975","48.3061","260.0","Linz                                                                            ","AT003C1                                           ","193814","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=8&Year_from=2019&Year_to=2019&Station=STA.04.S184&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
