Latitude,Longitude,Air Pollution Level
31.5,-28.125,2.6579729e-08
31.5,-27.5,2.6695657e-08
31.5,-26.875,2.6790882e-08
31.5,-26.25,2.7019366e-08
31.5,-25.625,2.7195927e-08
31.5,-25.0,2.7274535e-08
31.5,-24.375,2.733708e-08
31.5,-23.75,2.7503324e-08
31.5,-23.125,2.7683695e-08
31.5,-22.5,2.7810163e-08
31.5,-21.875,2.7973186e-08
31.5,-21.25,2.8226657e-08
31.5,-20.625,2.8559947e-08
31.5,-20.0,2.8818723e-08
31.5,-19.375,2.9060145e-08
31.5,-18.75,2.9456876e-08
31.5,-18.125,2.9950524e-08
31.5,-17.5,3.035872e-08
31.5,-16.875,3.0656e-08
31.5,-16.25,3.0714407e-08
31.5,-15.625,3.1000397e-08
31.5,-15.0,3.1461116e-08
31.5,-14.375,3.1872588e-08
31.5,-13.75,3.2152435e-08
31.5,-13.125,3.232707e-08
31.5,-12.5,3.257697e-08
31.5,-11.875,3.3045172e-08
31.5,-11.25,3.3730263e-08
31.5,-10.625,3.428025e-08
31.5,-10.0,3.457931e-08
31.5,-9.375,3.4581863e-08
31.5,-8.75,3.6369038e-08
31.5,-8.125,3.7445236e-08
31.5,-7.5,3.9398728e-08
31.5,-6.875,4.0132434e-08
31.5,-6.25,4.063017e-08
31.5,-5.625,4.027308e-08
31.5,-5.0,3.9283332e-08
31.5,-4.375,3.8411518e-08
31.5,-3.75,3.8180833e-08
31.5,-3.125,3.7809542e-08
31.5,-2.5,3.7744524e-08
31.5,-1.875,3.7898392e-08
31.5,-1.25,3.7767737e-08
31.5,-0.625,3.761452e-08
31.5,0.0,3.7467768e-08
31.5,0.625,3.7379717e-08
31.5,1.25,3.74575e-08
31.5,1.875,3.754404e-08
31.5,2.5,3.7683634e-08
31.5,3.125,3.782733e-08
31.5,3.75,3.7898772e-08
31.5,4.375,3.7858356e-08
31.5,5.0,3.776374e-08
31.5,5.625,3.7815376e-08
31.5,6.25,3.7959484e-08
31.5,6.875,3.8107206e-08
31.5,7.5,3.8065274e-08
31.5,8.125,3.813131e-08
31.5,8.75,3.8330924e-08
31.5,9.375,3.858194e-08
31.5,10.0,3.8844632e-08
31.5,10.625,3.9073e-08
31.5,11.25,3.9245194e-08
31.5,11.875,3.935302e-08
31.5,12.5,3.9388908e-08
31.5,13.125,3.9178907e-08
31.5,13.75,3.871042e-08
31.5,14.375,3.8292626e-08
31.5,15.0,3.8056722e-08
31.5,15.625,3.8538523e-08
31.5,16.25,3.841457e-08
31.5,16.875,3.8182407e-08
31.5,17.5,3.7686995e-08
