Latitude,Longitude,PM25
31.5,-28.125,5.2447324
31.5,-27.5,5.326196
31.5,-26.875,5.433314
31.5,-26.25,5.800132
31.5,-25.625,6.1605444
31.5,-25.0,6.2163854
31.5,-24.375,6.15236
31.5,-23.75,6.0814238
31.5,-23.125,6.1872473
31.5,-22.5,6.1775665
31.5,-21.875,6.0415087
31.5,-21.25,5.9389896
31.5,-20.625,6.1366124
31.5,-20.0,6.2363467
31.5,-19.375,6.3040295
31.5,-18.75,6.49567
31.5,-18.125,6.8195314
31.5,-17.5,7.068892
31.5,-16.875,7.401107
31.5,-16.25,7.900117
31.5,-15.625,8.441608
31.5,-15.0,8.814605
31.5,-14.375,9.116286
31.5,-13.75,9.341881
31.5,-13.125,9.698923
31.5,-12.5,9.684922
31.5,-11.875,9.803647
31.5,-11.25,9.698419
31.5,-10.625,9.846179
31.5,-10.0,11.228739
31.5,-9.375,14.648849
31.5,-8.75,16.836325
31.5,-8.125,19.154558
31.5,-7.5,20.318556
31.5,-6.875,20.65097
31.5,-6.25,21.678848
31.5,-5.625,23.874569
31.5,-5.0,24.967787
31.5,-4.375,26.177402
31.5,-3.75,27.372463
31.5,-3.125,29.50556
31.5,-2.5,30.938704
31.5,-1.875,31.898552
31.5,-1.25,33.560394
31.5,-0.625,35.55268
31.5,0.0,37.170124
31.5,0.625,38.271366
31.5,1.25,38.432056
31.5,1.875,38.994522
31.5,2.5,40.741287
31.5,3.125,43.453594
31.5,3.75,48.0125
31.5,4.375,54.25622
31.5,5.0,60.715366
31.5,5.625,65.28938
31.5,6.25,67.07969
31.5,6.875,69.96152
31.5,7.5,70.719765
31.5,8.125,67.14111
31.5,8.75,62.642776
31.5,9.375,59.144875
31.5,10.0,53.081326
31.5,10.625,47.279408
31.5,11.25,41.621357
31.5,11.875,38.01301
31.5,12.5,37.33741
31.5,13.125,38.482075
31.5,13.75,42.471085
31.5,14.375,47.78214
31.5,15.0,54.781834
31.5,15.625,43.14192
31.5,16.25,33.50957
31.5,16.875,29.804783
31.5,17.5,27.704023
31.5,18.125,26.368803
31.5,18.75,25.36898
31.5,19.375,24.950613
31.5,20.0,26.016155
31.5,20.625,27.981237
31.5,21.25,27.656082
31.5,21.875,26.938667
31.5,22.5,28.013214
31.5,23.125,29.521862
31.5,23.75,28.126682
31.5,24.375,25.156715
31.5,25.0,24.823387
31.5,25.625,23.962763
31.5,26.25,22.885136
31.5,26.875,22.469313
31.5,27.5,22.324762
31.5,28.125,23.027023
31.5,28.75,23.522009
31.5,29.375,24.76443
31.5,30.0,26.169
31.5,30.625,25.86994
31.5,31.25,25.742653
31.5,31.875,25.806263
31.5,32.5,26.847921
31.5,33.125,28.101995
31.5,33.75,28.611855
31.5,34.375,29.384851
31.5,35.0,32.17566
31.5,35.625,30.620596
31.5,36.25,30.003689
31.5,36.875,29.165106
31.5,37.5,29.861515
31.5,38.125,30.344992
31.5,38.75,29.642038
31.5,39.375,28.96893
31.5,40.0,28.98827
31.5,40.625,29.552526
31.5,41.25,31.57222
31.5,41.875,32.432693
31.5,42.5,33.42168
31.5,43.125,34.915142
31.5,43.75,38.832428
31.5,44.375,41.911118
31.5,45.0,41.255104
31.5,45.625,43.352615
31.5,46.25,44.070297
31.5,46.875,48.186333
31.5,47.5,47.60316
32.0,-28.125,5.028548
32.0,-27.5,5.223394
32.0,-26.875,5.396545
32.0,-26.25,5.700865
32.0,-25.625,5.988132
32.0,-25.0,5.979127
32.0,-24.375,5.8543463
32.0,-23.75,5.799667
32.0,-23.125,5.8020296
32.0,-22.5,5.7169647
32.0,-21.875,5.601771
32.0,-21.25,5.5336556
32.0,-20.625,5.735126
32.0,-20.0,5.8782697
32.0,-19.375,5.9918838
32.0,-18.75,6.1222377
32.0,-18.125,6.315822
32.0,-17.5,6.5473833
32.0,-16.875,7.0285473
32.0,-16.25,7.6533084
32.0,-15.625,8.127711
32.0,-15.0,8.375747
32.0,-14.375,8.576289
32.0,-13.75,8.979585
32.0,-13.125,9.317626
32.0,-12.5,9.233075
32.0,-11.875,9.212401
32.0,-11.25,9.096122
32.0,-10.625,9.135162
32.0,-10.0,9.821081
32.0,-9.375,11.869586
32.0,-8.75,14.407772
32.0,-8.125,16.321323
32.0,-7.5,17.477457
32.0,-6.875,19.183928
32.0,-6.25,20.201317
32.0,-5.625,21.439465
32.0,-5.0,22.761055
32.0,-4.375,23.808455
32.0,-3.75,24.81277
32.0,-3.125,26.66181
32.0,-2.5,28.313257
32.0,-1.875,28.560123
32.0,-1.25,29.926146
32.0,-0.625,31.070486
32.0,0.0,32.245037
32.0,0.625,33.46296
32.0,1.25,33.925774
32.0,1.875,34.545834
32.0,2.5,36.46116
32.0,3.125,39.200596
32.0,3.75,43.754
32.0,4.375,49.380356
32.0,5.0,56.73869
32.0,5.625,64.01038
32.0,6.25,67.16927
32.0,6.875,70.98105
32.0,7.5,72.0861
32.0,8.125,67.406746
32.0,8.75,62.878166
32.0,9.375,58.50099
32.0,10.0,50.6438
32.0,10.625,46.276573
32.0,11.25,46.750355
32.0,11.875,43.22143
32.0,12.5,37.809307
32.0,13.125,35.105984
32.0,13.75,36.68812
32.0,14.375,43.28675
32.0,15.0,40.804558
32.0,15.625,33.163338
32.0,16.25,28.942478
32.0,16.875,27.022467
32.0,17.5,25.674149
32.0,18.125,24.643496
32.0,18.75,23.856234
32.0,19.375,23.670446
32.0,20.0,23.736408
32.0,20.625,24.197386
32.0,21.25,24.029943
32.0,21.875,24.142012
32.0,22.5,24.79001
32.0,23.125,25.560863
32.0,23.75,24.109509
32.0,24.375,21.584301
32.0,25.0,21.332485
32.0,25.625,20.91387
32.0,26.25,20.495995
32.0,26.875,20.478668
32.0,27.5,20.663166
32.0,28.125,21.12999
32.0,28.75,21.857037
32.0,29.375,22.542322
32.0,30.0,22.985264
32.0,30.625,23.325918
32.0,31.25,23.539635
32.0,31.875,23.325216
32.0,32.5,23.623573
32.0,33.125,24.573366
32.0,33.75,25.593618
32.0,34.375,27.129429
32.0,35.0,29.543169
32.0,35.625,30.071135
32.0,36.25,30.462275
32.0,36.875,28.65898
32.0,37.5,27.83773
32.0,38.125,27.610598
32.0,38.75,27.131641
32.0,39.375,26.936943
32.0,40.0,27.50257
32.0,40.625,28.467157
32.0,41.25,30.158876
32.0,41.875,31.736048
32.0,42.5,33.78433
32.0,43.125,36.26795
32.0,43.75,41.817562
32.0,44.375,42.11951
32.0,45.0,39.847492
32.0,45.625,39.655357
32.0,46.25,45.18831
32.0,46.875,52.61165
32.0,47.5,52.18177
32.5,-28.125,4.825793
32.5,-27.5,5.101256
32.5,-26.875,5.302156
32.5,-26.25,5.5492644
32.5,-25.625,5.755019
32.5,-25.0,5.7149105
32.5,-24.375,5.610428
32.5,-23.75,5.5282407
32.5,-23.125,5.4459133
32.5,-22.5,5.358057
32.5,-21.875,5.245629
32.5,-21.25,5.209265
32.5,-20.625,5.306172
32.5,-20.0,5.498501
32.5,-19.375,5.670799
32.5,-18.75,5.8628407
32.5,-18.125,5.9939137
32.5,-17.5,6.219022
32.5,-16.875,6.6067944
32.5,-16.25,7.1598706
32.5,-15.625,7.603753
32.5,-15.0,7.8408732
32.5,-14.375,8.060398
32.5,-13.75,8.515471
32.5,-13.125,8.821479
32.5,-12.5,8.746461
32.5,-11.875,8.729576
32.5,-11.25,8.6015215
32.5,-10.625,8.565489
32.5,-10.0,8.987808
32.5,-9.375,10.241156
32.5,-8.75,13.127053
32.5,-8.125,14.800453
32.5,-7.5,16.16235
32.5,-6.875,17.209375
32.5,-6.25,18.054659
32.5,-5.625,19.043886
32.5,-5.0,20.58573
32.5,-4.375,21.599697
32.5,-3.75,22.19471
32.5,-3.125,23.715376
32.5,-2.5,25.404045
32.5,-1.875,26.398987
32.5,-1.25,27.263088
32.5,-0.625,27.678034
32.5,0.0,28.769533
32.5,0.625,30.139978
32.5,1.25,30.989628
32.5,1.875,31.738155
32.5,2.5,33.669415
32.5,3.125,36.348278
32.5,3.75,41.116196
32.5,4.375,47.523388
32.5,5.0,55.86325
32.5,5.625,65.21335
32.5,6.25,70.689186
32.5,6.875,75.32129
32.5,7.5,76.06434
32.5,8.125,71.26664
32.5,8.75,66.32422
32.5,9.375,59.566437
32.5,10.0,47.974434
32.5,10.625,47.634594
32.5,11.25,53.32285
32.5,11.875,53.26623
32.5,12.5,40.402958
32.5,13.125,34.795555
32.5,13.75,34.386566
32.5,14.375,36.890728
32.5,15.0,33.926376
32.5,15.625,28.928371
32.5,16.25,26.55264
32.5,16.875,25.296309
32.5,17.5,24.322088
32.5,18.125,23.702864
32.5,18.75,22.905222
32.5,19.375,22.611242
32.5,20.0,22.160177
32.5,20.625,21.62058
32.5,21.25,21.401075
32.5,21.875,21.910563
32.5,22.5,21.909374
32.5,23.125,21.834644
32.5,23.75,20.453522
32.5,24.375,19.693453
32.5,25.0,19.430012
32.5,25.625,19.207073
32.5,26.25,19.078075
32.5,26.875,19.214586
32.5,27.5,19.48787
32.5,28.125,19.964748
32.5,28.75,20.575191
32.5,29.375,21.16055
32.5,30.0,21.523705
32.5,30.625,21.8485
32.5,31.25,22.048834
32.5,31.875,22.003395
32.5,32.5,22.154652
32.5,33.125,22.701277
32.5,33.75,23.524307
32.5,34.375,24.964975
32.5,35.0,27.001688
32.5,35.625,29.542278
32.5,36.25,29.637743
32.5,36.875,27.02361
32.5,37.5,25.959152
32.5,38.125,26.087168
32.5,38.75,26.104753
32.5,39.375,26.593325
32.5,40.0,26.954754
32.5,40.625,28.182755
32.5,41.25,30.139702
32.5,41.875,31.96261
32.5,42.5,34.874275
32.5,43.125,39.02706
32.5,43.75,44.625694
32.5,44.375,44.138775
32.5,45.0,39.503353
32.5,45.625,39.367645
32.5,46.25,44.274895
32.5,46.875,44.60595
32.5,47.5,40.70051
33.0,-28.125,4.6648817
33.0,-27.5,4.939149
33.0,-26.875,5.142624
33.0,-26.25,5.326311
33.0,-25.625,5.487182
33.0,-25.0,5.4765887
33.0,-24.375,5.384625
33.0,-23.75,5.2735357
33.0,-23.125,5.200587
33.0,-22.5,5.0986977
33.0,-21.875,4.989108
33.0,-21.25,4.995868
33.0,-20.625,5.0558944
33.0,-20.0,5.1588707
33.0,-19.375,5.3336906
33.0,-18.75,5.578393
33.0,-18.125,5.754759
33.0,-17.5,5.9881024
33.0,-16.875,6.2506347
33.0,-16.25,6.5538454
33.0,-15.625,6.930714
33.0,-15.0,7.261425
33.0,-14.375,7.5292106
33.0,-13.75,7.9980507
33.0,-13.125,8.412281
33.0,-12.5,8.421331
33.0,-11.875,8.270398
33.0,-11.25,8.082186
33.0,-10.625,8.031007
33.0,-10.0,8.282872
33.0,-9.375,8.996742
33.0,-8.75,11.034156
33.0,-8.125,13.746715
33.0,-7.5,15.454202
33.0,-6.875,15.739973
33.0,-6.25,15.798439
33.0,-5.625,17.26362
33.0,-5.0,19.084251
33.0,-4.375,20.250668
33.0,-3.75,20.744099
33.0,-3.125,21.586912
33.0,-2.5,22.93153
33.0,-1.875,24.192225
33.0,-1.25,25.113369
33.0,-0.625,25.594187
33.0,0.0,26.663067
33.0,0.625,28.058273
33.0,1.25,28.970472
33.0,1.875,29.56278
33.0,2.5,31.175896
