Latitude,Longitude,PM25
31.5,-28.125,5.238112
31.5,-27.5,5.3194914
31.5,-26.875,5.426494
31.5,-26.25,5.793263
31.5,-25.625,6.153692
31.5,-25.0,6.2095785
31.5,-24.375,6.145584
31.5,-23.75,6.074886
31.5,-23.125,6.181032
31.5,-22.5,6.1712275
31.5,-21.875,6.0351367
31.5,-21.25,5.9323897
31.5,-20.625,6.129721
31.5,-20.0,6.2293625
31.5,-19.375,6.296469
31.5,-18.75,6.487514
31.5,-18.125,6.810386
31.5,-17.5,7.059477
31.5,-16.875,7.39066
31.5,-16.25,7.8883595
31.5,-15.625,8.429375
31.5,-15.0,8.802822
31.5,-14.375,9.106138
31.5,-13.75,9.334554
31.5,-13.125,9.692171
31.5,-12.5,9.677038
31.5,-11.875,9.7948265
31.5,-11.25,9.688595
31.5,-10.625,9.834825
31.5,-10.0,11.216464
31.5,-9.375,14.631029
31.5,-8.75,16.813625
31.5,-8.125,19.124992
31.5,-7.5,20.284304
31.5,-6.875,20.612494
31.5,-6.25,21.637468
31.5,-5.625,23.83619
31.5,-5.0,24.93868
31.5,-4.375,26.149612
31.5,-3.75,27.34468
31.5,-3.125,29.479725
31.5,-2.5,30.914568
31.5,-1.875,31.875015
31.5,-1.25,33.53723
31.5,-0.625,35.530506
31.5,0.0,37.147934
31.5,0.625,38.24932
31.5,1.25,38.41013
31.5,1.875,38.972416
31.5,2.5,40.71921
31.5,3.125,43.431686
31.5,3.75,47.990776
31.5,4.375,54.234665
31.5,5.0,60.693916
31.5,5.625,65.268234
31.5,6.25,67.05856
31.5,6.875,69.94044
31.5,7.5,70.69886
31.5,8.125,67.12009
31.5,8.75,62.62135
31.5,9.375,59.122993
31.5,10.0,53.05887
31.5,10.625,47.25672
31.5,11.25,41.598568
31.5,11.875,37.98948
31.5,12.5,37.313354
31.5,13.125,38.45773
31.5,13.75,42.44689
31.5,14.375,47.757668
31.5,15.0,54.75605
31.5,15.625,43.11798
31.5,16.25,33.487175
31.5,16.875,29.782497
31.5,17.5,27.68176
31.5,18.125,26.346542
31.5,18.75,25.346695
31.5,19.375,24.92794
31.5,20.0,25.992777
31.5,20.625,27.955416
31.5,21.25,27.630718
31.5,21.875,26.913692
31.5,22.5,27.988096
31.5,23.125,29.496195
31.5,23.75,28.10131
31.5,24.375,25.13186
31.5,25.0,24.7973
31.5,25.625,23.937954
31.5,26.25,22.86079
31.5,26.875,22.444777
31.5,27.5,22.299597
