Latitude,Longitude,Air Pollution Level
31.5,-28.125,2.1694958e-11
31.5,-27.5,2.0922517e-11
31.5,-26.875,2.0527729e-11
31.5,-26.25,2.0452539e-11
31.5,-25.625,2.0446093e-11
31.5,-25.0,2.0419623e-11
31.5,-24.375,2.0935741e-11
31.5,-23.75,2.22168e-11
31.5,-23.125,2.3021435e-11
31.5,-22.5,2.3635635e-11
31.5,-21.875,2.5159031e-11
31.5,-21.25,2.7766307e-11
31.5,-20.625,3.0391082e-11
31.5,-20.0,3.3443012e-11
31.5,-19.375,3.9170955e-11
31.5,-18.75,4.9246496e-11
31.5,-18.125,5.9740164e-11
31.5,-17.5,6.580224e-11
31.5,-16.875,6.764679e-11
31.5,-16.25,6.235145e-11
31.5,-15.625,7.060858e-11
31.5,-15.0,9.068917e-11
31.5,-14.375,1.04394916e-10
31.5,-13.75,9.634877e-11
31.5,-13.125,8.006841e-11
31.5,-12.5,7.231938e-11
31.5,-11.875,8.140636e-11
31.5,-11.25,1.09358515e-10
31.5,-10.625,1.904345e-10
31.5,-10.0,4.3367845e-10
31.5,-9.375,7.752478e-10
31.5,-8.75,9.729283e-10
31.5,-8.125,1.1776213e-09
31.5,-7.5,7.602773e-10
31.5,-6.875,5.1654353e-10
31.5,-6.25,4.3949797e-10
31.5,-5.625,3.9666112e-10
31.5,-5.0,4.4958415e-10
31.5,-4.375,5.106529e-10
31.5,-3.75,3.6207373e-10
31.5,-3.125,3.153863e-10
31.5,-2.5,3.847589e-10
31.5,-1.875,3.7340145e-10
31.5,-1.25,3.0814437e-10
31.5,-0.625,2.8488595e-10
31.5,0.0,2.659167e-10
31.5,0.625,2.523858e-10
31.5,1.25,2.475982e-10
31.5,1.875,2.4741612e-10
31.5,2.5,2.531245e-10
31.5,3.125,2.8572553e-10
31.5,3.75,3.4002035e-10
31.5,4.375,3.1106018e-10
31.5,5.0,3.889512e-10
31.5,5.625,4.3157e-10
31.5,6.25,5.1699894e-10
31.5,6.875,3.58646e-10
31.5,7.5,3.2397565e-10
31.5,8.125,3.2956954e-10
31.5,8.75,3.2343406e-10
31.5,9.375,2.9780334e-10
31.5,10.0,3.1607805e-10
31.5,10.625,3.5395917e-10
31.5,11.25,4.2109322e-10
31.5,11.875,4.839472e-10
31.5,12.5,5.4464494e-10
31.5,13.125,5.637672e-10
31.5,13.75,5.8511834e-10
31.5,14.375,6.414137e-10
31.5,15.0,6.6197686e-10
31.5,15.625,3.8749773e-10
31.5,16.25,2.5407432e-10
31.5,16.875,2.334112e-10
31.5,17.5,1.2446016e-10
