Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting),Observation Frequency
"Andorra","NET-AD001A","Xarxa de vigilancia de qualitat de l'aire del Departament de Medi Ambient - Govern Andorra","AD0942A","Escaldes-Engordany","SPO-AD0942A-0007","O3","Ozone (air)","P1Y","Annual mean / 1 calendar year","2019","47.269","ug/m3","91.46","1","Background","Urban","1.5391","42.5097","1080.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AD&CityName=&Pollutant=7&Year_from=2019&Year_to=2019&Station=STA-AD0942A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.02","Amt der Kärntner Landesregierung","AT2KA71","Klagenfurt Sterneckstraße","SPO.02.KA71.64341.7.1","O3","Ozone (air)","P1Y","Annual mean / 1 calendar year","2019","40.736","ug/m3","95.65","1","Background","Urban","14.2991","46.6266","445.0","Klagenfurt                                                                      ","AT006C1                                           ","96640","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=7&Year_from=2019&Year_to=2019&Station=STA.02.KA71&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.04","Amt der Oberösterreichischen Landesregierung","AT4S156","Braunau Zentrum, Kolpingplatz","SPO.04.S156.3950.7.1","O3","Ozone (air)","P1Y","Annual mean / 1 calendar year","2019","44.274","ug/m3","92.10","1","Background","Suburban","13.0392","48.2575","350.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=7&Year_from=2019&Year_to=2019&Station=STA.04.S156&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.02","Amt der Kärntner Landesregierung","AT2SP10","Obervellach Schulzentrum","SPO.02.SP10.903.7.1","O3","Ozone (air)","P1Y","Annual mean / 1 calendar year","2019","46.904","ug/m3","95.51","1","Background","Rural","13.1945","46.9350","686.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=7&Year_from=2019&Year_to=2019&Station=STA.02.SP10&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.03","Amt der Niederösterreichischen Landesregierung","AT30103","Kollmitzberg","SPO.03.0103.935.7.1","O3","Ozone (air)","P1Y","Annual mean / 1 calendar year","2019","62.080","ug/m3","92.28","1","Background","Rural","14.8651","48.1793","465.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=7&Year_from=2019&Year_to=2019&Station=STA.03.0103&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.04","Amt der Oberösterreichischen Landesregierung","AT4S235","Feuerkogel (Höllengebirge)","SPO.04.S235.65899.7.1","O3","Ozone (air)","P1Y","Annual mean / 1 calendar year","2019","90.278","ug/m3","92.33","1","Background","Rural","13.7207","47.8159","1602.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=7&Year_from=2019&Year_to=2019&Station=STA.04.S235&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.03","Amt der Niederösterreichischen Landesregierung","AT30301","Hainburg Krankenhaus","SPO.03.0301.932.7.1","O3","Ozone (air)","P1Y","Annual mean / 1 calendar year","2019","60.101","ug/m3","93.71","1","Background","Suburban","16.9579","48.1442","180.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=7&Year_from=2019&Year_to=2019&Station=STA.03.0301&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.03","Amt der Niederösterreichischen Landesregierung","AT31401","Mödling Bachgasse","SPO.03.1401.938.7.1","O3","Ozone (air)","P1Y","Annual mean / 1 calendar year","2019","57.889","ug/m3","95.33","1","Background","Suburban","16.3022","48.0861","215.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=7&Year_from=2019&Year_to=2019&Station=STA.03.1401&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Austria","NET.03","Amt der Niederösterreichischen Landesregierung","AT30401","Gänserndorf Baumschulweg","SPO.03.0401.929.7.1","O3","Ozone (air)","P1Y","Annual mean / 1 calendar year","2019","59.091","ug/m3","95.49","1","Background","Rural","16.7294","48.3347","161.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AT&CityName=&Pollutant=7&Year_from=2019&Year_to=2019&Station=STA.03.0401&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
"Andorra","NET-AD001A","Xarxa de vigilancia de qualitat de l'aire del Departament de Medi Ambient - Govern Andorra","AD0944A","Engolasters","SPO-AD0944A-0007","O3","Ozone (air)","P1Y","Annual mean / 1 calendar year","2019","85.975","ug/m3","95.73","1","Background","Rural","1.5653","42.5169","1637.0","","","","E1a/validated data AQ e-Reporting","10/01/2024 06:41:30","http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=AD&CityName=&Pollutant=7&Year_from=2019&Year_to=2019&Station=STA-AD0944A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=","hour"
